Zone Name,Comment,Power,RX Freq,TX Freq,Color Code,Local,VA State,Roar,Discon,TG9
VA Lynch; TOBAC,Lynch Tbc,High,146.655,146.055,1,2,2,1,1,-
VA Lynch; AORCH,A Orch,High,443.8,448.8,1,1,2,-,1,2
