HS NC
ICARS
NC Lenoir
Cat Analog
Ham Simplex
APRS
Catawba
Analog Auxc
GMRS / FRS
WNC Analog
NC Ahoskie PRN
NC Boone PRN
NC Buxton
NC Cary
NC CLT
NC Englehard
NC Franklin
NC Gastonia  PRN
NC Goldsboro
NC Greenville
NC Hertferd
NC Hillsborough
NC Jacksonville
NC King
NC Mamie
NC Morehead City
NC Nags Head
NC Nashville NC
NC Sanford
NC Southern Pines
NC Spruce Pine
NC Sugar PRN
NC Sylva
NC West Jefferson
NC Wilkes
NC Wilmington
NC Wilson
NC Wingate
Fkln
AVL
Gas
Hndr
Marin
MGTN
WYNL
A HHI
Ag HHI
SC Anderson
SC Barnwell
SC Beaufort
SC Beech Island
SC Bluffton
SC Charleston
SC N Charleston
SC S Charleston
SC Chester
SC Clemson
SC Columbia
SC E Columbia
SC W Columbia
SC Dillon
SC Florence
SC Georgetown
SC Greenville
SC Greenwood
SC Hilton Head
SC Lake City
SC Murrels Inlet
SC Myrtle Beach
SC Orangeburg
SC Pickens
SC Rock Hill
SC Spartanburg
SC St George
SC Sumpter
SC Sumpter Center
SC Walhalla
TN Ana
TN HS
VA Chesapeake
VA Fancy Gap
VA Roanoake
VA Wytheville
VA Lynch
VA Lynch SMPX
Analog LA
MURS
Marine
NOAA Wx
Business Common
NIFOG Interop
PubSafety MutAid
