Auxcomm,31379
Carolina 44O,31374
CVARS,31678
Discon,4000
Echotest,9998
EHPC CLUSTER,310001
Hurricane Net,3199
NC CLT Metro,31375
NC East,31373
NC OBX,31377
NC RTP,31371
NC State,3137
NC TAC,31370
NC West TAC,31376
NC WX,31378
Roar,53080
SE Region 4,314722
TEMA,31478
TN Knox Metro,1473
TN Memphis,31471
TN MTEARS WX,31472
TN State,3147
TN TAC,31475
WW 91,91
